id,2020,2021,2022,2023,2024
18043,C,C,C,C,C
18089,N,C,C,N,C
18155,C,C,C,C,C
18159,C,C,C,C,C
18237,C,C,C,C,C
18248,C,C,C,C,C
18255,C,C,C,N,C
18267,C,C,C,N,C
19040,C,-,-,C,C
19090,C,N,N,N,N
19099,C,C,C,C,C
19141,-,-,C,-,N
19167,-,C,-,-,N
19169,C,C,C,C,C
19201,C,C,N,N,N
19204,-,-,C,-,C
04206,C,-,C,-,C
05108,-,C,-,-,C
06060,C,C,C,C,C
55028,C,C,C,C,C
55070,C,C,C,C,C
55127,C,C,-,-,-
55141,C,-,-,-,C
55183,-,-,C,-,C
55198,C,C,C,C,C
55206,C,C,C,C,C
55257,-,C,-,-,C
55313,C,-,-,-,C
55324,C,C,C,C,C
55404,C,C,C,C,C
55522,C,C,C,C,C
55545,C,C,C,C,C
55562,C,C,C,C,C
56058,C,C,C,C,C
56073,C,C,C,C,C
56075,C,C,C,C,C
56100,C,C,C,C,C
56197,C,C,C,C,C
56216,C,C,C,C,C
56221,C,C,C,C,C
56263,C,C,C,C,C
57059,C,C,C,C,C
57070,C,C,C,C,C
57073,C,C,C,C,C
57133,C,C,C,C,C
57168,C,C,C,C,C
57181,C,C,C,C,C
57211,C,C,C,C,C
57236,C,C,C,C,C
57239,C,C,C,C,C
57255,C,C,C,C,C
57273,C,C,C,C,C
57315,C,C,C,C,C
57339,C,C,C,C,C
57360,C,C,C,C,C
57367,C,C,C,C,C
57372,C,C,C,C,C
57377,C,C,C,C,C
57379,C,C,C,C,C
57383,C,C,C,C,C
57403,C,C,C,C,C
57447,C,C,C,C,C
57448,C,C,C,C,C
57467,C,C,C,C,C
57512,C,C,C,C,C
57557,C,C,C,C,C
57563,C,C,C,C,C
57599,C,C,C,C,C
57726,C,C,C,C,C
57728,C,C,C,C,C
58005,C,C,C,C,C
58021,C,C,C,C,C
58046,C,C,C,C,C
58049,C,C,C,C,C
58088,C,C,C,C,C
58095,C,C,C,C,C
58164,C,C,C,C,C
58178,C,C,C,C,C
58237,C,C,C,C,C
59032,C,C,C,C,C
59033,C,C,C,C,C
59074,C,C,C,C,C
59077,C,C,C,C,C
59101,C,C,C,C,C
59106,C,C,C,C,C
59123,C,C,C,C,C
59165,C,C,C,C,C
59207,C,C,C,C,C
59267,C,C,C,C,C
59350,C,C,C,C,C
59387,C,C,C,C,C
